"Name","Reference","All","Mutations","CNA","RNA.Seq","Structural_Variants","Tumor_mRNA_.microarray.","Tumor_miRNA","Methylation_.HM27.","RPPA","Protein_Mass_Spectrometry","Complete","Treatment_Count","pmid","studyId"
"Oral Squamous Cell Carcinoma (MD Anderson, Cancer Discov 2013)","Pickering et al. Cancer Discov 2013",40,40,0,0,0,0,0,0,0,0,0,0,"23619168","hnsc_mdanderson_2013"
"Ovarian Cancer (CPTAC, GDC)","",113,96,0,0,0,0,0,0,0,0,0,0,NA,"ovary_cptac_gdc"
"Ovarian Cancer - MSK SPECTRUM (MSK, Nature 2022)","VÃ¡zquez-GarcÃ­a, Uhlitz et al. Nature 2022",82,82,82,0,20,0,0,0,0,0,0,0,"36517593","msk_spectrum_tme_2022"
"Ovarian Serous Cystadenocarcinoma (TCGA, Firehose Legacy)","",617,316,579,307,0,558,0,592,436,174,182,0,NA,"ov_tcga"
"Ovarian Serous Cystadenocarcinoma (TCGA, Nature 2011)","TCGA, Nature 2011",489,316,489,0,0,489,489,489,0,0,316,0,"21720365","ov_tcga_pub"
"Ovarian Serous Cystadenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",585,523,572,300,361,0,0,0,414,121,201,496,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","ov_tcga_pan_can_atlas_2018"
"Pan-Cancer MSK-IMPACT MET Validation Cohort (MSK 2022)","",69,69,69,0,0,0,0,0,0,0,0,0,NA,"mixed_impact_subset_2022"
"Pan-Lung Cancer (TCGA, Nat Genet 2016)","TCGA, Nat Genet 2016",1144,1144,1144,0,42,0,0,0,0,0,0,299,"27158780","nsclc_tcga_broad_2016"
"Pan-cancer Analysis of Advanced and Metastatic Tumors (BCGSC, Nature Cancer 2020)","Pleasance et al. Nature Cancer 2020",570,570,570,570,556,0,0,0,0,0,570,466,"35121966","pog570_bcgsc_2020"
"Pan-cancer analysis of whole genomes (ICGC/TCGA, Nature 2020)","Campbell et al. Nature 2020",2922,2683,2703,0,0,0,749,0,0,0,0,0,"32025007","pancan_pcawg_2020"
"Pancreatic Acinar Cell Carcinoma (MSK, JCO 2023)","",47,47,47,0,12,0,0,0,0,0,0,0,NA,"paac_msk_jco_2023"
"Pancreatic Adenocarcinoma (ICGC, Nature 2012)","Biankin et al. Nature 2012",99,99,0,0,0,0,0,0,0,0,0,0,"23103869","paad_icgc"
"Pancreatic Adenocarcinoma (MSK, 2024)","",2336,2336,2336,0,320,0,0,0,0,0,0,0,NA,"pdac_msk_2024"
"Pancreatic Adenocarcinoma (QCMG, Nature 2016)","Bailey et al. Nature 2016",456,383,0,96,0,0,0,0,0,0,0,0,"26909576","paad_qcmg_uq_2016"
"Pancreatic Adenocarcinoma (TCGA, Firehose Legacy)","",186,150,184,179,0,0,0,0,123,0,149,0,NA,"paad_tcga"
"Pancreatic Adenocarcinoma (TCGA, GDC)","",186,173,182,0,0,0,0,0,0,0,0,0,NA,"paad_tcga_gdc"
"Pancreatic Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",184,179,183,177,90,0,0,0,122,0,168,118,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","paad_tcga_pan_can_atlas_2018"
"Pancreatic Cancer (CPTAC, GDC)","",139,138,95,0,0,0,0,0,0,0,0,0,NA,"pancreas_cptac_gdc"
"Pancreatic Cancer (MSK, 2024)","",395,395,395,0,27,0,0,0,0,0,0,391,NA,"pancreas_msk_2024"
"Pancreatic Cancer (UTSW, Nat Commun 2015)","Witkiewicz et al. Nat Commun 2015",109,109,109,0,0,0,0,0,0,0,0,0,"25855536","paad_utsw_2015"
"Pancreatic Ductal Adenocarcinoma (CPTAC, Cell 2021)","Liwei Cao et al. Cell 2021",140,140,0,140,0,0,137,0,0,140,140,0,"34534465","paad_cptac_2021"
"Pancreatic Neuroendocrine Tumors (Johns Hopkins University, Science 2011)","Jiao et al. Science 2011",10,10,0,0,0,0,0,0,0,0,0,0,"21252315","panet_jhu_2011"
"Pancreatic Neuroendocrine Tumors (MSK, 2023)","",65,65,65,0,8,0,0,0,0,0,0,0,NA,"panet_msk_erc_2023"
"Pancreatic Neuroendocrine Tumors (Multi-Institute, Nature 2017)","Scarpa et al. Nature 2017",98,98,0,0,0,0,0,0,0,0,0,0,"28199314","panet_arcnet_2017"
"Papillary Renal Cell Carcinoma (TCGA, GDC)","",292,279,284,0,0,0,0,0,0,0,0,0,NA,"prcc_tcga_gdc"
"Papillary Thyroid Cancer (TCGA, GDC)","",515,496,505,0,0,0,0,0,0,0,0,0,NA,"thpa_tcga_gdc"
"Papillary Thyroid Carcinoma (TCGA, Cell 2014)","TCGA, Cell 2014",496,496,494,482,57,0,0,0,222,0,388,0,"25417114","thca_tcga_pub"
"Pediatric Acute Lymphoid Leukemia - Phase II (TARGET, 2018)","",1978,150,764,203,0,301,0,149,0,0,81,0,NA,"all_phase2_target_2018_pub"
"Pediatric Acute Myeloid Leukemia (TARGET, 2018)","",1025,150,240,45,0,0,0,184,0,0,150,0,NA,"aml_target_2018_pub"
"Pediatric Brain Cancer (CPTAC/CHOP, Cell 2020)","CPTAC, Cell 2020",218,218,190,188,0,0,0,0,218,0,0,0,"33242424","brain_cptac_2020"
"Pediatric European MAPPYACTS Trial (Gustave Roussy, Cancer Discov 2022)","Berlanga et al. Cancer Discov 2022",788,674,267,0,57,0,0,0,0,0,0,0,"35292802","pancan_mappyacts_2022"
"Pediatric Ewing Sarcoma (DFCI, Cancer Discov 2014)","Crompton et al. Cancer Discov 2014",107,107,0,0,36,0,0,0,0,0,0,0,"25186949","es_dfarber_broad_2014"
"Pediatric Neuroblastoma (MSK, Nat Genet 2023)","Gunes et al. Nat Genet 2023",223,223,223,0,14,0,0,0,0,0,0,0,"37169874","nbl_msk_2023"
"Pediatric Neuroblastoma (TARGET, 2018)","",1089,1089,59,143,0,249,0,0,0,0,0,0,NA,"nbl_target_2018_pub"
"Pediatric Pan-Cancer (DKFZ, Nature 2017)","Grobner et al. Nature 2018",961,876,0,0,0,0,0,0,0,0,0,0,"29489754","pediatric_dkfz_2017"
"Pediatric Pan-cancer (Columbia U, Genome Med 2016)","Oberg et al. Genome Med 2016",103,103,0,0,22,0,0,0,0,0,0,0,"28007021","mixed_pipseq_2017"
"Pediatric Pancan Tumors (MSK,Nat Commun. 2022)","Shukla,N et al. Nat Commun 2022",135,112,97,0,35,0,0,0,0,0,0,0,"35585047","mixed_kunga_msk_2022"
"Pediatric Preclinical Testing Consortium (CHOP, Cell Rep 2019)","Rotika et al. Cell Rep 2019",261,261,252,244,101,0,0,0,0,0,222,0,"31693904","pptc_2019"
"Pediatric Rhabdoid Tumor (TARGET, 2018)","",72,72,0,43,0,0,43,0,0,0,0,0,NA,"rt_target_2018_pub"
"Pediatric Rhabdomyosarcomas (MSK, JCO Precis Oncol 2023)","de Wardin et al. JCO Precis Oncol 2023",24,24,24,0,19,0,0,0,0,0,0,0,"37315267","rms_msk_2023"
"Pediatric Wilms' Tumor (TARGET, 2018)","",657,657,129,130,0,127,0,0,0,0,101,0,NA,"wt_target_2018_pub"
"Pheochromocytoma and Paraganglioma (TCGA, Cell 2017)","Fishbein et al. Cancer Cell 2017",178,178,0,0,8,0,0,0,76,0,0,0,"28162975","pcpg_tcga_pub"
"Pheochromocytoma and Paraganglioma (TCGA, Firehose Legacy)","",184,184,162,184,0,0,0,0,82,0,162,0,NA,"pcpg_tcga"
"Pheochromocytoma and Paraganglioma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",178,178,161,178,66,0,0,0,79,0,161,7,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","pcpg_tcga_pan_can_atlas_2018"
"Pilocytic Astrocytoma (ICGC, Nature Genetics 2013)","Jones et al. Nature Genetics 2013",96,96,0,0,80,0,0,0,0,0,0,0,"23817572","past_dkfz_heidelberg_2013"
"Pituitary Adenoma (MSK, Acta Neuropathologica 2024)","Lin, Andrew L et al, Acta Neuropathologica 2024",104,104,104,0,2,0,0,0,0,0,0,76,"38758238","ptad_msk_2024"
"Pleural Mesothelioma (MSK, Clin Cancer Res 2024)","Yang, Soo-Ryum et al. Clin Cancer Res 2024",14,14,14,0,3,0,0,0,0,0,0,0,"38630790","plmeso_msk_2024"
"Pleural Mesothelioma (NYU, Cancer Res 2015)","Guo et al. Cancer Res 2015",22,22,0,0,0,0,0,0,0,0,0,0,"25488749","plmeso_nyu_2015"
"Pleural Mesothelioma (TCGA, GDC)","",87,78,86,0,0,0,0,0,0,0,0,0,NA,"plmeso_tcga_gdc"
"Poorly-Differentiated and Anaplastic Thyroid Cancers (MSK, JCI 2016)","Landa et al. J Clin Invest 2016",117,117,117,0,12,0,0,0,0,0,0,0,"26878173","thyroid_mskcc_2016"
"Pre-cancer Colorectal Polyps (HTAN Vanderbilt, Cell 2021)","Chen et al. Cell 2021",61,30,0,55,0,0,0,0,0,0,0,0,"34910928","crc_hta11_htan_2021"
"Primary CNS Lymphoma - Ibrutinib Long Term Follow Up (MSK, 2024)","",86,60,86,0,0,0,0,0,0,0,0,0,NA,"pcnsl_msk_2024"
"Primary Central Nervous System Lymphoma (Mayo Clinic, Clin Cancer Res 2015)","Braggio et al. Clin Cancer Res 2015",19,10,0,0,0,0,0,0,0,0,0,0,"25991819","pcnsl_mayo_2015"
"Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)","Baca et al. Cell 2013",82,57,56,0,28,0,0,0,0,0,0,0,"23622249","prad_broad_2013"
"Prostate Adenocarcinoma (Broad/Cornell, Nat Genet 2012)","Barbieri et al. Nat Genet 2012",123,112,109,0,0,31,0,0,0,0,20,0,"22610119","prad_broad"
"Prostate Adenocarcinoma (CPC-GENE, Nature 2017)","Fraser et al. Nature 2017",477,477,0,0,0,0,0,0,0,0,0,0,"28068672","prad_cpcg_2017"
"Prostate Adenocarcinoma (Fred Hutchinson CRC, Nat Med 2016)","Kumar et al. Nat Med 2016",176,141,149,0,0,171,0,0,0,0,133,0,"26928463","prad_fhcrc"
"Prostate Adenocarcinoma (MSK, Cancer Cell 2010)","Taylor et al. Cancer Cell 2010",240,182,240,0,0,156,113,0,0,0,126,0,"20579941","prad_mskcc"
"Prostate Adenocarcinoma (MSK, Clin Cancer Res. 2022)","Chakraborty et al. Clin Cancer Research 2022",1417,1417,1417,0,697,0,0,0,0,0,0,0,"35670774","prad_pik3r1_msk_2021"
"Prostate Adenocarcinoma (MSK, Eur Urol 2020)","Nguyen et al. Eur Urol 2020",1465,1465,1465,0,626,0,0,0,0,0,0,1,"32317181","prad_cdk12_mskcc_2020"
"Prostate Adenocarcinoma (MSK, PNAS 2014)","Hieronymus et al. PNAS 2014",104,0,104,0,0,0,0,0,0,0,0,0,"25024180","prad_mskcc_2014"
"Prostate Adenocarcinoma (MSK/DFCI, Nature Genetics 2018)","Armenia et al. Nat Genet 2018",1013,1013,1013,0,378,0,0,0,0,0,0,0,"29610475","prad_p1000"
"Prostate Adenocarcinoma (SMMU, Eur Urol 2017)","Shancheng et al. Eur Urol 2017",65,65,65,0,49,0,0,0,0,0,0,0,"28927585","prad_eururol_2017"
"Prostate Adenocarcinoma (TCGA, Cell 2015)","TCGA, Cell 2015",333,333,333,290,198,0,0,0,146,0,290,0,"26544944","prad_tcga_pub"
"Prostate Adenocarcinoma (TCGA, Firehose Legacy)","",501,499,492,498,0,0,0,0,352,0,491,0,NA,"prad_tcga"
"Prostate Adenocarcinoma (TCGA, GDC)","",501,491,487,0,0,0,0,0,0,0,0,0,NA,"prad_tcga_gdc"
"Prostate Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",494,494,489,493,431,0,0,0,350,0,488,108,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","prad_tcga_pan_can_atlas_2018"
"Prostate Adenocarcinoma Organoids (MSK, Cell 2014)","Gao et al. Cell 2014",12,12,0,10,0,0,0,0,0,0,0,0,"25201530","prad_mskcc_cheny1_organoids_2014"
"Prostate Cancer (DKFZ, Cancer Cell 2018)","Gerhauser et al. Cancer Cell 2018",324,313,0,118,0,0,0,0,0,0,0,0,"30537516","prostate_dkfz_2018"
"Prostate Cancer (MSK 2024)","",2260,2260,2260,0,1001,0,0,0,0,0,0,0,NA,"prostate_msk_2024"
"Prostate Cancer (MSK, Cell Metab 2020)","Granlund et al. Cell Metab 2020",18,18,18,0,4,0,0,0,0,0,0,0,"31564440","prad_msk_2019"
"Prostate Cancer (MSK, JCO Precis Oncol 2017)","Abida et al. JCO Precis Oncol 2017",504,504,504,0,201,0,0,0,0,0,0,0,"28825054","prad_mskcc_2017"
"Prostate Cancer (MSK, Science 2022)","Tang et al. Science 2022",47,47,47,0,10,0,0,0,0,0,0,0,"35617398","prad_organoids_msk_2022"
"Prostate Cancer Brain Metastases (Bern, Nat Commun. 2022)","Rodriguez-Calero et al. Nat Commun. 2022",168,168,0,0,0,0,0,0,0,0,0,0,"35504881","prostate_pcbm_swiss_2019"
"Prostate Cancer MDA PCa PDX (MD Anderson, Clin Cancer Res 2024)","Anselmino et al. Clin Cancer Res 2024",88,88,44,88,21,0,0,0,0,0,0,0,"38488813","prad_msk_mdanderson_2023"
"Proteogenomic landscape of breast cancer (CPTAC, Cell 2020)","Krug et al. Cell 2020",122,122,122,122,0,0,0,0,0,122,122,0,"33212010","brca_cptac_2020"
"RAD51B Associated Mixed Cancers (MSK, NPJ 2021)","Setton et al. NPJ Breast Cancer 2021",19,19,0,0,0,0,0,0,0,0,0,0,"34635660","mixed_msk_tcga_2021"
"Race Differences in Prostate Cancer (MSK, 2021)","Stopsack et al. Clin Cancer Res 2022",2069,2069,2069,0,921,0,0,0,0,0,0,0,"34667026","prad_msk_stopsack_2021"
"Rectal Adenocarcinoma (TCGA, GDC)","",171,156,168,0,0,0,0,0,0,0,0,0,NA,"read_tcga_gdc"
"Rectal Cancer (MSK, Nature Medicine 2022)","Walid K et al. Nature Medicine 2022",788,692,692,0,0,100,0,0,0,0,0,0,"35970919","rectal_msk_2022"
"Rectal Cancer (MSK,Nature Medicine 2019)","Ganesh et al. Nat Med 2019",339,339,339,0,0,0,0,0,0,0,0,0,"31591597","rectal_msk_2019"
"Recurrent and Metastatic Head & Neck Cancer (MSK, JAMA Oncol 2016)","Morris et al. JAMA Oncol 2016",151,151,151,0,17,0,0,0,0,0,0,0,"27442865","hnc_mskcc_2016"
"Renal Cell Carcinoma (CPTAC, GDC)","",288,287,287,0,0,0,0,0,0,0,0,0,NA,"rcc_cptac_gdc"
"Renal Clear Cell Carcinoma (TCGA, GDC)","",537,371,518,0,0,0,0,0,0,0,0,0,NA,"ccrcc_tcga_gdc"
"Renal Clear Cell Carcinoma (UTokyo, Nat Genet 2013)","Sato et al. Nat Genet 2013",106,106,0,0,25,0,0,0,0,0,0,0,"23797736","ccrcc_utokyo_2013"
"Renal Non-Clear Cell Carcinoma (Genentech, Nat Genet 2014)","Durinck et al. Nat Genet 2014",146,146,0,0,7,0,0,0,0,0,0,0,"25401301","nccrcc_genentech_2014"
"Retinoblastoma (MSK, Cancers 2021)","Francis et al. Cancers 2021",83,83,83,0,5,0,0,0,0,0,0,0,"33466343","rbl_mskcc_2020"
"Retinoblastoma cfDNA (MSK, Cancer Med 2020)","Kothari et al. Cancer Med 2020",14,14,0,0,0,0,0,0,0,0,0,0,"32633890","rbl_cfdna_msk_2020"
"Rhabdoid Cancer (BCGSC, Cancer Cell 2016)","E. Chun et al. Cancer Cell 2016",40,40,0,0,12,0,0,0,0,0,0,0,"26977886","mrt_bcgsc_2016"
"Rhabdomyosarcoma (NIH, Cancer Discov 2014)","Shern et al. Cancer Discov 2014",43,43,0,0,0,0,0,0,0,0,0,0,"24436047","rms_nih_2014"
"Rhabdomyosarcomas (MSK, NPJ Precis Oncol 2023)","Wardin et at. NPJ Precis Oncol 2023",42,42,42,0,28,0,0,0,0,0,0,0,"37730754","soft_tissue_msk_2023"
"SUMMIT - Neratinib Basket Study (Multi-Institute, Nature 2018)","Hyman et al. Nature 2018",141,106,106,0,1,0,0,0,0,0,0,0,"29420467","summit_2018"
"Sarcoma (MSK, J Pathol 2023)","Josephine K et al. J Pathol 2023",82,82,82,0,21,0,0,0,0,0,0,0,"37350195","sarcoma_msk_2023"
"Sarcoma (MSK, Nat Commun. 2022)","Nacev et al. Nat Commun. 2022",2138,2138,2138,0,678,0,0,0,0,0,0,0,"35705560","sarcoma_mskcc_2022"
"Sarcoma (MSKCC/Broad, Nat Genet 2010)","Barretina et al. Nat Genet 2010",207,207,207,0,0,89,0,0,0,0,16,0,"20601955","sarc_mskcc"
"Sarcoma (TCGA, Firehose Legacy)","",265,247,257,263,0,0,0,0,226,0,241,0,NA,"sarc_tcga"
"Sarcoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",255,255,253,253,216,0,0,0,218,0,251,115,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","sarc_tcga_pan_can_atlas_2018"
"Skin Cutaneous Melanoma (Broad, Cell 2012)","Hodis et al. Cell 2012",121,121,0,0,0,0,0,0,0,0,0,0,"22817889","skcm_broad"
"Skin Cutaneous Melanoma (TCGA, Firehose Legacy)","",480,368,367,472,0,0,0,0,355,0,287,0,NA,"skcm_tcga"
"Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",448,440,367,443,313,0,0,0,329,0,363,200,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","skcm_tcga_pan_can_atlas_2018"
"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)","Krauthammer et al. Nat Genet 2012",147,147,0,0,0,0,0,0,0,0,0,0,"22842228","skcm_yale"
"Skin Cutaneous Melanoma(Broad, Cancer Discov 2014)","Van Allen et al. Cancer Discov. 2012",78,78,0,0,0,0,0,0,0,0,0,0,"24265153","skcm_broad_brafresist_2012"
"Small Cell Carcinoma of the Ovary (MSK, Nat Genet 2014)","Jelinic et al. Nat Genet 2014",12,12,0,0,0,0,0,0,0,0,0,0,"24658004","scco_mskcc"
"Small Cell Lung Cancer (CLCGP, Nat Genet 2012)","Peifer et al. Nat Genet 2012",29,29,0,0,0,0,0,0,0,0,0,0,"22941188","sclc_clcgp"
"Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)","Rudin et al. Nat Genet 2012",80,80,0,0,19,0,0,0,0,0,0,0,"22941189","sclc_jhu"
"Small Cell Lung Cancer (U Cologne, Nature 2015)","George et al. Nature 2015",120,120,0,0,2,0,0,0,0,0,0,0,"26168399","sclc_ucologne_2015"
"Small-Cell Lung Cancer (Multi-Institute, Cancer Cell 2017)","Gardner et al. Cancer Cell 2017",20,20,0,0,0,0,0,0,0,0,0,2,"28196596","sclc_cancercell_gardner_2017"
"Soft Tissue Cancer (TCGA, GDC)","",264,237,250,0,0,0,0,0,0,0,0,0,NA,"soft_tissue_tcga_gdc"
"Soft Tissue and Bone Sarcoma (MSK, Nat Commun 2022)","Gounder et. al. Nat Comm 2022",7494,7494,0,0,3771,0,0,0,0,0,0,0,"35705558","sarcoma_msk_2022"
"Squamous Cell Carcinoma of the Vulva (CUK, Exp Mol Med 2018)","Han et al. Exp Mol Med 2018",15,15,0,0,0,0,0,0,0,0,0,0,"29422544","vsc_cuk_2018"
"Stomach Adenocarcinoma (Pfizer and UHK, Nat Genet 2014)","Wang et al. Nat Genet 2014",100,100,0,0,0,0,0,0,0,0,0,0,"24816253","stad_pfizer_uhongkong"
"Stomach Adenocarcinoma (TCGA, Firehose Legacy)","",478,478,441,415,0,0,0,48,392,0,369,0,NA,"stad_tcga"
"Stomach Adenocarcinoma (TCGA, GDC)","",443,431,436,0,0,0,0,0,0,0,0,0,NA,"stad_tcga_gdc"
"Stomach Adenocarcinoma (TCGA, Nature 2014)","TCGA, Nature 2014",295,295,293,265,87,0,0,0,0,0,258,0,"25079317","stad_tcga_pub"
"Stomach Adenocarcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",440,436,438,412,214,0,0,0,354,0,407,189,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","stad_tcga_pan_can_atlas_2018"
"Stomach Adenocarcinoma (U Tokyo, Nat Genet 2014)","Kakiuchi et al. Nat Genet 2014",30,30,0,0,0,0,0,0,0,0,0,0,"24816255","stad_utokyo"
"Stomach Adenocarcinoma (UHK, Nat Genet 2011)","Wang et al. Nat Genet 2011",22,22,0,0,0,0,0,0,0,0,0,0,"22037554","stad_uhongkong"
"TMB and Immunotherapy (MSK, Nat Genet 2019)","Samstein et al. Nat Genet 2019",1661,1661,0,0,288,0,0,0,0,0,0,0,"30643254","tmb_mskcc_2018"
"Testicular Germ Cell Cancer (TCGA, Firehose Legacy)","",156,155,150,156,0,0,0,0,122,0,149,0,NA,"tgct_tcga"
"Testicular Germ Cell Tumors (TCGA, PanCancer Atlas)","TCGA, Cell 2018",149,149,149,149,59,0,0,0,118,0,144,81,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","tgct_tcga_pan_can_atlas_2018"
"The Angiosarcoma Project (Provisional, July 2020)","",83,83,83,0,0,0,0,0,0,0,0,54,NA,"angs_painter_2020"
"The Angiosarcoma Project - Count Me In (Nature Medicine, 2020)","Painter et al. Nat Med 2020",48,48,48,0,0,0,0,0,0,0,0,0,"32042194","angs_project_painter_2018"
"The Metastatic Breast Cancer Project (Archived, 2020)","",237,237,237,146,0,0,0,0,0,0,146,105,NA,"brca_mbcproject_wagle_2017"
"The Metastatic Breast Cancer Project (Provisional, December 2021)","",379,379,379,157,128,0,0,0,0,0,0,240,NA,"brca_mbcproject_2022"
"The Metastatic Prostate Cancer Project (Provisional, June 2021)","",123,82,82,0,0,0,0,0,0,0,0,64,NA,"mpcproject_broad_2021"
"Thoracic Cancer (MSK, Nat Commun 2021)","Rebecca et al. Nat Commun. 2022",69,69,69,0,4,0,0,0,0,0,0,1,"35440124","lung_pdx_msk_2021"
"Thoracic PDX (MSK, Provisional)","",318,318,318,0,20,0,0,0,0,0,0,147,NA,"lung_msk_pdx"
"Thymic Epithelial Tumors (NCI, Nat Genet 2014)","Petrini at el. Nat Genet 2014",32,32,0,0,7,0,0,0,0,0,0,0,"24974848","tet_nci_2014"
"Thymoma (TCGA, Firehose Legacy)","",124,123,123,120,0,0,0,0,90,0,119,0,NA,"thym_tcga"
"Thymoma (TCGA, GDC)","",124,121,123,0,0,0,0,0,0,0,0,0,NA,"thym_tcga_gdc"
"Thymoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",123,123,123,119,27,0,0,0,90,0,119,45,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","thym_tcga_pan_can_atlas_2018"
"Thyroid Carcinoma (TCGA, Firehose Legacy)","",516,405,499,509,0,0,0,0,224,0,397,0,NA,"thca_tcga"
"Thyroid Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",500,490,497,498,135,0,0,0,369,0,480,273,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","thca_tcga_pan_can_atlas_2018"
"Triple-Negative Breast Cancer (FUSCC, Cell research 2020)","Jiang, Yi-Zhou et al. Cell research 2020",69,69,0,0,0,0,0,0,0,0,0,0,"32719455","brca_fuscc_2020"
"Tumors with TRK fusions (MSK, Clin Cancer Res 2020)","Rosen et al. Clin Cancer Res 2020",106,106,54,0,102,0,0,0,0,0,0,52,"31871300","ntrk_msk_2019"
"Unclassified Renal Cell Carcinoma (MSK, Nature 2016)","Chen et al. Nat Commun 2016",62,62,62,0,0,0,0,0,0,0,0,0,"27713405","urcc_mskcc_2016"
"Upper Tract Urothelial Cancer (MSK, Eur Urol 2015)","Sfakianos et al. Eur Urol 2015",85,85,85,0,0,0,0,0,0,0,0,0,"26278805","utuc_mskcc_2015"
"Upper Tract Urothelial Carcinoma (Cornell/Baylor/MDACC, Nat Commun 2019)","Robinson et al. Nat Commun 2019",47,37,0,32,0,32,0,0,0,0,0,0,"31278255","utuc_cornell_baylor_mdacc_2019"
"Upper Tract Urothelial Carcinoma (IGBMC, Genome Biology 2021)","Xiaoping et al. Genome Biology 2021",30,30,0,0,0,0,0,0,0,0,0,0,"33397444","utuc_igbmc_2021"
"Upper Tract Urothelial Carcinoma (MSK, Nat Commun 2020)","Kwanghee et al. Nat Commun 2020",119,119,119,0,0,0,0,0,0,0,0,0,"32332851","utuc_msk_2019"
"Upper Tract Urothelial Carcinoma PDX (MSK, Nat Commun 2020)","Kwanghee et al. Nat Commun 2020",78,78,78,0,0,0,0,0,0,0,0,0,"32332851","utuc_pdx_msk_2019"
"Urothelial Carcinoma (BCAN/HCRN, Nat Commun 2022)","Damrauer et al. Nat Commun. 2022",192,192,0,180,0,0,0,0,0,0,0,0,"36333289","blca_bcan_hcrn_2022"
"Urothelial Carcinoma (Cornell/Trento, Nat Gen 2016)","Faltas and Prandi, Nature Genetics 2016",72,72,72,0,0,0,0,0,0,0,0,0,"27749842","blca_cornell_2016"
"Uterine Carcinosarcoma (Johns Hopkins, Nat Commun 2014)","Jones et al. Nat Commun 2014",22,22,0,0,0,0,0,0,0,0,0,0,"25233892","ucs_jhu_2014"
"Uterine Carcinosarcoma (TCGA, Firehose Legacy)","",57,57,56,57,0,0,0,0,48,0,56,0,NA,"ucs_tcga"
"Uterine Carcinosarcoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",57,57,56,57,52,0,0,0,48,0,56,43,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","ucs_tcga_pan_can_atlas_2018"
"Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor (TCGA, GDC)","",57,57,53,0,0,0,0,0,0,0,0,0,NA,"ucs_tcga_gdc"
"Uterine Clear Cell Carcinoma (NIH, Cancer 2017)","Le Gallo et al. Cancer 2017",16,16,0,0,0,0,0,0,0,0,0,0,"28485815","uccc_nih_2017"
"Uterine Corpus Endometrial Carcinoma (TCGA, Firehose Legacy)","",549,248,539,177,0,54,0,117,440,0,7,0,NA,"ucec_tcga"
"Uterine Corpus Endometrial Carcinoma (TCGA, Nature 2013)","TCGA, Nature 2013",373,248,363,333,0,54,0,117,200,0,232,0,"23636398","ucec_tcga_pub"
"Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",529,517,523,527,93,0,0,0,423,0,507,278,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,30643250,32214244,29625049,29850653","ucec_tcga_pan_can_atlas_2018"
"Uterine Endometrioid Carcinoma (CPTAC, GDC)","",292,225,92,0,0,0,0,0,0,0,0,0,NA,"uec_cptac_gdc"
"Uterine Sarcoma/Mesenchymal (MSK, Clin Cancer Res 2020)","Hensley et al. Clin Cancer Res 2020",108,108,108,0,19,0,0,0,0,0,0,0,"32299819","usarc_msk_2020"
"Uveal Melanoma (QIMR, Oncotarget 2016)","Johansson et al. Oncotarget 2016",28,26,0,0,14,0,0,0,0,0,0,0,"26683228","um_qimr_2016"
"Uveal Melanoma (TCGA, Firehose Legacy)","",80,80,80,80,0,0,0,0,0,0,80,0,NA,"uvm_tcga"
"Uveal Melanoma (TCGA, GDC)","",80,80,80,0,0,0,0,0,0,0,0,0,NA,"um_tcga_gdc"
"Uveal Melanoma (TCGA, PanCancer Atlas)","TCGA, Cell 2018",80,80,80,80,13,0,0,0,12,0,80,6,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","uvm_tcga_pan_can_atlas_2018"
