"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"721","Wide re-excisional biopsy","Wide;Re-Excision;Biopsy","NCIT:C124593;NCIT:C48600;NCIT:C15189","NCIT;NCIT;NCIT"
"722","XL147","Pilaralisib","NCIT:C71705","NCIT"
"723","Yes vaccine","Vaccine","NCIT:C923","NCIT"
"724","abiraterone","Abiraterone","NCIT:C77333","NCIT"
"725","abiraterone acetate","Abiraterone Acetate","NCIT:C68845","NCIT"
"726","abraxane","Nab-paclitaxel","NCIT:C2688","NCIT"
"727","added ipilimumab)","Ipilimumab","NCIT:C2654","NCIT"
"728","adriamycin","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"729","amifostine","Amifostine","NCIT:C488","NCIT"
"730","anterior exenteration","Anterior Pelvic Exenteration","NCIT:C94468","NCIT"
"731","anthracycline","Anthracycline Antineoplastic Antibiotic","NCIT:C1594","NCIT"
"732","anti-CD123","Immunotherapeutic Agent","NCIT:C308","NCIT"
"733","anti-CD33","Immunotherapeutic Agent","NCIT:C308","NCIT"
"734","anti-LAG3","Anti-LAG-3 Monoclonal Antibody","NCIT:C134305","NCIT"
"735","anti-TIM3","Anti-TIM-3 Monoclonal Antibody","NCIT:C141146","NCIT"
"736","appendectomy","Appendectomy","NCIT:C51687","NCIT"
"737","autologous stem cell transplant","Autologous Hematopoietic Stem Cell Transplantation","NCIT:C16039","NCIT"
"738","autologout SCT","Autologous Hematopoietic Stem Cell Transplantation","NCIT:C16039","NCIT"
"739","axillary dissection","Axillary Lymph Node Dissection","NCIT:C15677","NCIT"
"740","axillary lymph node biopsy","Axillary Lymph Node Biopsy","NCIT:C62658","NCIT"
"741","axillary lymph node dissection","Axillary Lymph Node Dissection","NCIT:C15677","NCIT"
"742","axillary node dissection","Axillary Lymph Node Dissection","NCIT:C15677","NCIT"
"743","axillary sentinel lymph node biopsy","Axillary Lymph Node;Sentinel Lymph Node Biopsy","NCIT:C12904;NCIT:C15667","NCIT;NCIT"
"744","azacitidine","Azacitidine","NCIT:C288","NCIT"
"745","bevacizumab","Bevacizumab","NCIT:C2039","NCIT"
"746","bicalutamide","Bicalutamide","NCIT:C1599","NCIT"
"747","bilateral pelvic lymph node dissection","Bilateral Pelvic Lymph Node Dissection","NCIT:C166163","NCIT"
"748","bilateral pelvic lymphadenectomy","Bilateral;Pelvic Lymphadenectomy","NCIT:C13332;NCIT:C51896","NCIT;NCIT"
"749","bilateral total mastectomies","Bilateral;Total Mastectomy","NCIT:C13332;NCIT:C15281","NCIT;NCIT"
"750","biopsy","Biopsy","NCIT:C15189","NCIT"
"751","bleomycin","Bleomycin","NCIT:C313","NCIT"
"752","breast conserving therapy","Breast Conservation Treatment","NCIT:C15280","NCIT"
"753","brentuximab vedotin","Brentuximab Vedotin","NCIT:C66944","NCIT"
"754","cape","Capecitabine","NCIT:C1794","NCIT"
"755","capecitabine","Capecitabine","NCIT:C1794","NCIT"
"756","carbo","Carboplatin","NCIT:C1282","NCIT"
"757","carboplatin","Carboplatin","NCIT:C1282","NCIT"
"758","carmustine","Carmustine","NCIT:C349","NCIT"
"759","carvo","Carboplatin","NCIT:C1282","NCIT"
"760","cd47mAb","Anti-CD47 Monoclonal Antibody","NCIT:C159583","NCIT"
"761","cetuximab","Cetuximab","NCIT:C1723","NCIT"
"762","cis","Cisplatin","NCIT:C376","NCIT"
"763","cisplatin","Cisplatin","NCIT:C376","NCIT"
"764","clofarabine","Clofarabine","NCIT:C26638","NCIT"
"765","cob","Cobimetinib","NCIT:C68923","NCIT"
"766","cobimetinib","Cobimetinib","NCIT:C68923","NCIT"
"767","combo resection","Combination;Resection","NCIT:C61517;NCIT:C158758","NCIT;NCIT"
"768","cos","Cisplatin","NCIT:C376","NCIT"
"769","creation of ileal conduit","Urinary Diversion","NCIT:C91841","NCIT"
"770","creation of neobladder","Neobladder","NCIT:C117718","NCIT"
"771","creation of orthotopic neobladder","Orthotopic;Neobladder","NCIT:C94384;NCIT:C117718","NCIT;NCIT"
"772","cvt","Regadenoson","NCIT:C74420","NCIT"
"773","cyclophosphamide","Cyclophosphamide","NCIT:C405","NCIT"
"774","cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"775","cytarabine","Cytarabine","NCIT:C408","NCIT"
"776","dacarbazine","Dacarbazine","NCIT:C411","NCIT"
"777","dauna","Daunorubicin","NCIT:C62091","NCIT"
"778","dauno","Daunorubicin","NCIT:C62091","NCIT"
"779","dcVax","Dendritic Cell Vaccine","NCIT:C28310","NCIT"
"780","desatinib","Dasatinib","NCIT:C38713","NCIT"
"781","dex","Dexamethasone","NCIT:C422","NCIT"
"782","dexamethasone","Dexamethasone","NCIT:C422","NCIT"
"783","docetaxel","Docetaxel","NCIT:C1526","NCIT"
"784","doxorubicin","Doxorubicin","NCIT:C456","NCIT"
"785","doxorubicin hydrochloride","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"786","enucleation","Enucleation","NCIT:C48601","NCIT"
"787","enucleation in the pancretic tail","Enucleation;Tail of the Pancreas","NCIT:C48601;NCIT:C12271","NCIT;NCIT"
"788","enzalutamide","Enzalutamide","NCIT:C71744","NCIT"
"789","epirubicin","Epirubicin","NCIT:C62028","NCIT"
"790","erlotinib","Erlotinib","NCIT:C65530","NCIT"
"791","etoposide","Etoposide","NCIT:C491","NCIT"
"792","etoposide phosphate","Etoposide Phosphate","NCIT:C1093","NCIT"
"793","everolimus","Everolimus","NCIT:C48387","NCIT"
"794","excision of mass on chest wall","Excision;Chest Wall Mass","NCIT:C15232;NCIT:C39661","NCIT;NCIT"
"795","excisional biopsy","Excisional Biopsy","NCIT:C15385","NCIT"
"796","extended pelvic lymph node dissection","Extend;Pelvic Lymphadenectomy","NCIT:C25270;NCIT:C51896","NCIT;NCIT"
"797","fluorouracil","Fluorouracil","NCIT:C505","NCIT"
"798","folinic acid","Leucovorin","NCIT:C71631","NCIT"
"799","gem","Gemcitabine","NCIT:C66876","NCIT"
"800","gemcitabine","Gemcitabine","NCIT:C66876","NCIT"
"801","gleevec","Imatinib Regimen","NCIT:C160054","NCIT"
"802","hydrea","Hydroxyurea","NCIT:C560","NCIT"
"803","hysterectomy","Hysterectomy","NCIT:C15256","NCIT"
"804","ifosfamide","Ifosfamide","NCIT:C564","NCIT"
"805","ileal conduit","Urinary Diversion","NCIT:C91841","NCIT"
"806","ileal conduit urinary diversion","Urinary Diversion","NCIT:C91841","NCIT"
"807","inner-upper margin re-excision","Inner;Upper;Surgical Margin;Re-Excision","NCIT:C37980;NCIT:C25355;NCIT:C41227;NCIT:C48600","NCIT;NCIT;NCIT;NCIT"
"808","ipi","Ipilimumab","NCIT:C2654","NCIT"
"809","ipilimumab","Ipilimumab","NCIT:C2654","NCIT"
"810","irinotecan","Irinotecan","NCIT:C62040","NCIT"
"811","isotretinoin","Isotretinoin","NCIT:C603","NCIT"
"812","left axillary lymph node dissection","Left;Axillary Lymph Node Dissection","NCIT:C25229;NCIT:C15677","NCIT;NCIT"
"813","left breast biopsy","Left;Biopsy of Breast","NCIT:C25229;NCIT:C51698","NCIT;NCIT"
"814","left segmental mastectomy","Left;Segmental Mastectomy","NCIT:C25229;NCIT:C20749","NCIT;NCIT"
"815","left sentinel lymph node biospy","Left;Sentinel Lymph Node Biopsy","NCIT:C25229;NCIT:C15667","NCIT;NCIT"
"816","lenalidomide","Lenalidomide","NCIT:C2668","NCIT"
"817","lenaloidomide","Lenalidomide","NCIT:C2668","NCIT"
"818","leucovorin","Leucovorin","NCIT:C71631","NCIT"
"819","level 1 and level 2 axillary dissection","Axillary Lymph Node Level I;Axillary Lymph Node Level II;Lymphadenectomy","NCIT:C123461;NCIT:C123462;NCIT:C15275","NCIT;NCIT;NCIT"
"820","limb infusion","Isolated Chemotherapeutic Limb Perfusion","NCIT:C15393","NCIT"
"821","localized segmental mastectomy","Localized;Segmental Mastectomy","NCIT:C14146;NCIT:C20749","NCIT;NCIT"
"822","lomustine","Lomustine","NCIT:C617","NCIT"
"823","lumpectomy right breast (breast cancer)","Lumpectomy;Right Breast","NCIT:C15755;NCIT:C47856","NCIT;NCIT"
"824","lung resection","Lung;Resection","NCIT:C12468;NCIT:C158758","NCIT;NCIT"
"825","lymph node dissection","Lymphadenectomy","NCIT:C15275","NCIT"
"826","lymph node left axillary lymph node excision","Left;Axillary Lymph Node Dissection","NCIT:C25229;NCIT:C15677","NCIT;NCIT"
"827","lymphadenectomy","Lymphadenectomy","NCIT:C15275","NCIT"
"828","mEK162","Binimetinib","NCIT:C84865","NCIT"
"829","mek162","Binimetinib","NCIT:C84865","NCIT"
"830","melphalan","Melphalan","NCIT:C633","NCIT"
"831","methotrexate","Methotrexate","NCIT:C642","NCIT"
"832","mitotane","Mitotane","NCIT:C664","NCIT"
"833","mitoxantrone","Mitoxantrone","NCIT:C62050","NCIT"
"834","needle directed right breast biopsy","Wire-Guided Localization;Right Breast;Biopsy;Wire-Guided Localization;Right Breast","NCIT:C91832;NCIT:C47856;NCIT:C15189;NCIT:C91832;NCIT:C47856","NCIT;NCIT;NCIT;NCIT;NCIT"
"835","needle localized segmental mastectomy","Wire-Guided Localization;Segmental Mastectomy","NCIT:C91832;NCIT:C20749","NCIT;NCIT"
"836","nivo","Nivolumab","NCIT:C68814","NCIT"
"837","nivolumab","Nivolumab","NCIT:C68814","NCIT"
"838","novel agent","Pharmacologic Substance","NCIT:C1909","NCIT"
"839","oncovex","Talimogene Laherparepvec","NCIT:C61314","NCIT"
"840","orthotopic neobladder","Orthotopic;Neobladder","NCIT:C94384;NCIT:C117718","NCIT;NCIT"
"841","ovoids","Mini Ovoid Brachytherapy","NCIT:C106077","NCIT"
"842","ox","Oxaliplatin","NCIT:C1181","NCIT"
"843","oxali","Oxaliplatin","NCIT:C1181","NCIT"
"844","oxaliplatin","Oxaliplatin","NCIT:C1181","NCIT"
"845","paclitaxel","Paclitaxel","NCIT:C1411","NCIT"
"846","pancreatoduodenectomy","Pancreaticoduodenectomy","NCIT:C51933","NCIT"
"847","partial left mastectomy","Left;Lumpectomy","NCIT:C25229;NCIT:C15755","NCIT;NCIT"
"848","partial mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"849","pelvic lymphadenectomy","Pelvic Lymphadenectomy","NCIT:C51896","NCIT"
"850","pembrolizumab","Pembrolizumab","NCIT:C106432","NCIT"
"851","pemetrexed treatment","Pemetrexed","NCIT:C61614","NCIT"
"852","pertuzumab","Pertuzumab","NCIT:C38692","NCIT"
"853","plexifor","Plerixafor","NCIT:C1777","NCIT"
"854","pouch res.","J-Pouch Coloanal Anastomosis","NCIT:C93276","NCIT"
"855","pred","Prednisone","NCIT:C770","NCIT"
"856","prednisone","Prednisone","NCIT:C770","NCIT"
"857","procarbazine","Procarbazine","NCIT:C62072","NCIT"
"858","pulse dose rate","Pulsed-Dose Rate Brachytherapy","NCIT:C116542","NCIT"
"859","quizartinib","Quizartinib","NCIT:C68936","NCIT"
"860","radical cystoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"861","radical cystoprotatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"862","radical cytoprostatectomy","Radical Cystoprostatectomy","NCIT:C51899","NCIT"
"863","ram","Ramucirumab","NCIT:C70792","NCIT"
"864","ramucirumab","Ramucirumab","NCIT:C70792","NCIT"
"865","regorafenib","Regorafenib","NCIT:C78204","NCIT"
"866","removal of pelvic","Tumor Resection;Pelvis","NCIT:C164212;NCIT:C12767","NCIT;NCIT"
"867","resection","Resection","NCIT:C158758","NCIT"
"868","retromammary lymph node excision","Retromammary space (body structure);Lymphadenectomy","245526002;NCIT:C15275","SNOMED;NCIT"
"869","right nephroureterectomy","Right;Nephroureterectomy","NCIT:C25228;NCIT:C51646","NCIT;NCIT"
"870","right segmental mastectomy","Right;Segmental Mastectomy","NCIT:C25228;NCIT:C20749","NCIT;NCIT"
"871","right sentinel lymph node biopsy","Right;Sentinel Lymph Node Biopsy","NCIT:C25228;NCIT:C15667","NCIT;NCIT"
"872","right sentinel node biopsy","Right;Sentinel Lymph Node Biopsy","NCIT:C25228;NCIT:C15667","NCIT;NCIT"
"873","right total mastectomy","Right;Total Mastectomy","NCIT:C25228;NCIT:C15281","NCIT;NCIT"
"874","rigth axillary lymph node","Axillary Lymph Node;Right","NCIT:C12904;NCIT:C25228","NCIT;NCIT"
"875","rituximab","Rituximab","NCIT:C1702","NCIT"
"876","robotic cystectomy","Robot-Assisted Surgery;Cystectomy","NCIT:C140885;NCIT:C15217","NCIT;NCIT"
"877","robotic_HYSTERECTOMY","Robotic Hysterectomy","NCIT:C167214","NCIT"
"878","segmental mastectomy","Segmental Mastectomy","NCIT:C20749","NCIT"
"879","sentinel axillary lymph node biopsy","Sentinel Lymph Node Biopsy Followed by Axillary Lymph Node Biopsy","NCIT:C120282","NCIT"
"880","sentinel lymoh node biopsy","Sentinel Lymph Node Biopsy","NCIT:C15667","NCIT"
"881","sentinel lymph node","Sentinel Lymph Node Biopsy","NCIT:C15667","NCIT"
"882","sentinel lymph node biopsy","Sentinel Lymph Node Biopsy","NCIT:C15667","NCIT"
"883","sentinel lymph node dissection","Sentinel Lymph Node;Lymphadenectomy","NCIT:C12947;NCIT:C15275","NCIT;NCIT"
"884","sentinel lymph node dissection right reconstruction","Sentinel Lymph Node;Lymphadenectomy;Right;Mammoplasty","NCIT:C12947;NCIT:C15275;NCIT:C25228;NCIT:C15354","NCIT;NCIT;NCIT;NCIT"
"885","sentinel lymph node excision","Sentinel Lymph Node;Lymphadenectomy","NCIT:C12947;NCIT:C15275","NCIT;NCIT"
"886","sentinel node biopsy","Sentinel Lymph Node Biopsy","NCIT:C15667","NCIT"
"887","sentinel node dissection","Sentinel Lymph Node;Lymphadenectomy","NCIT:C12947;NCIT:C15275","NCIT;NCIT"
"888","sib Allo","Sibling;Allogeneic Hematopoietic Stem Cell Transplantation","NCIT:C25204;NCIT:C46089","NCIT;NCIT"
"889","simple mastectomy","Total Mastectomy","NCIT:C15281","NCIT"
"890","sorafenib","Sorafenib","NCIT:C61948","NCIT"
"891","splenectomy","Splenectomy","NCIT:C15328","NCIT"
"892","stem cell transplant","Hematopoietic Cell Transplantation","NCIT:C15431","NCIT"
"893","steroids","Steroid Therapy","NCIT:C15370","NCIT"
"894","study drug","Pharmacologic Substance","NCIT:C1909","NCIT"
"895","surgical resection","Resection","NCIT:C158758","NCIT"
"896","tamoxifen","Tamoxifen","NCIT:C62078","NCIT"
"897","taxol","Paclitaxel","NCIT:C1411","NCIT"
"898","tem","Temozolomide","NCIT:C1244","NCIT"
"899","temodar","Temozolomide","NCIT:C1244","NCIT"
"900","temozolomide","Temozolomide","NCIT:C1244","NCIT"
"901","tissue reconstruction","Tissue Flap Breast Reconstruction","NCIT:C93317","NCIT"
"902","topotecan","Topotecan","NCIT:C1413","NCIT"
"903","total hip arthroplasty","Total;Hip Replacement;Total","NCIT:C25304;NCIT:C157876;NCIT:C25304","NCIT;NCIT;NCIT"
"904","total mastectomy","Total Mastectomy","NCIT:C15281","NCIT"
"905","transplant","Graft","NCIT:C12981","NCIT"
"906","tras","Trastuzumab","NCIT:C1647","NCIT"
"907","trastuzumab","Trastuzumab","NCIT:C1647","NCIT"
"908","vaccine","Vaccine","NCIT:C923","NCIT"
"909","vaginal implant","Vagina;Implant","NCIT:C12407;NCIT:C41075","NCIT;NCIT"
"910","vem","Vemurafenib","NCIT:C64768","NCIT"
"911","vemurafenib","Vemurafenib","NCIT:C64768","NCIT"
"912","vinblastine","Vinblastine","NCIT:C930","NCIT"
"913","vincrisinte","Vincristine","NCIT:C933","NCIT"
"914","vincristine","Vincristine","NCIT:C933","NCIT"
"915","vincristine sulfate","Vincristine Sulfate","NCIT:C1739","NCIT"
"916","wide local excision","Wide Local Excision","NCIT:C94441","NCIT"
"917","wire localization","Wire-Guided Localization","NCIT:C91832","NCIT"
"918","xeloda","Capecitabine","NCIT:C1794","NCIT"
